
> civil-ai-web@0.1.0 dev
> next dev --hostname 127.0.0.1 --port 3000

▲ Next.js 16.2.1 (Turbopack)
- Local:         http://127.0.0.1:3000
- Network:       http://127.0.0.1:3000
- Environments: .env.local
✓ Ready in 824ms

 GET / 200 in 19ms (next.js: 4ms, application-code: 15ms)
 GET / 200 in 82ms (next.js: 51ms, application-code: 31ms)
 GET / 200 in 24ms (next.js: 2ms, application-code: 21ms)
 GET / 200 in 15ms (next.js: 2ms, application-code: 13ms)
 GET / 200 in 17ms (next.js: 2ms, application-code: 15ms)
 GET / 200 in 23ms (next.js: 2ms, application-code: 20ms)
 GET / 200 in 28ms (next.js: 5ms, application-code: 23ms)
 GET / 200 in 43ms (next.js: 3ms, application-code: 40ms)
 GET / 200 in 21ms (next.js: 5ms, application-code: 16ms)
 GET / 200 in 39ms (next.js: 3ms, application-code: 36ms)
 GET / 200 in 39ms (next.js: 2ms, application-code: 36ms)
 GET / 200 in 35ms (next.js: 2ms, application-code: 32ms)
 GET / 200 in 36ms (next.js: 2ms, application-code: 34ms)
 GET / 200 in 58ms (next.js: 3ms, application-code: 56ms)
 GET / 200 in 94ms (next.js: 3ms, application-code: 92ms)
 GET / 200 in 96ms (next.js: 19ms, application-code: 76ms)
 GET / 200 in 59ms (next.js: 4ms, application-code: 55ms)
 GET / 200 in 44ms (next.js: 3ms, application-code: 40ms)
 GET / 200 in 25ms (next.js: 3ms, application-code: 23ms)
 GET /subscription 200 in 197ms (next.js: 170ms, application-code: 27ms)
 GET /subscription 200 in 164ms (next.js: 7ms, application-code: 157ms)
▲ Next.js 16.2.1 (Turbopack)
- Local:         http://127.0.0.1:3000
- Network:       http://127.0.0.1:3000
- Environments: .env.local
✓ Ready in 660ms

